username,referer,pid,python_file,error_code,date,task
ankit,http://192.168.43.50/nfs.html?,13700,nfs.py, AH01215:     sp.getoutput("sshpass -p blackhat ssh -o stricthostkeychecking=no -l root 192.168.43.190 mkdir /nfs/{0}".format(usrName)),Mon Jun 25 18:51:11,NETWORKFILESYSTEM
vikas,http://192.168.43.80/run.html,4150,run.py, AH01215:     x=sp.getstatusoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} rpm -q JDK1.8 ".format(Pass,Tue Jun 26 23:13:46,UNKNOWN
yash,http://192.168.43.80/run.html,4150,run.py, AH01215:     x=sp.getstatusoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} rpm -q hadoop ".format(Pass,Tue Jun 26 23:13:46,UNKNOWN
ankit,http://192.168.43.50/nfs.html?,13700,nfs.py, AH01215:     sp.getoutput("sshpass -p blackhat ssh -o stricthostkeychecking=no -l root 192.168.43.190 mkdir /nfs/{0}".format(usrName)),Mon Jun 25 18:51:14,NETWORKFILESYSTEM
ankit,http://192.168.43.50/nfs.html?,1291,master.py, AH01215:     sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} mkdir /media/{2}".format(Pass,Tue Jun 26 20:53:01,UNKNOWN
ankit,http://192.168.43.50/nfs.html?,1291,master.py, AH01215:     sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} mkdir /media/{2}".format(Pass,Tue Jun 26 20:53:01,UNKNOWN
piyush,http://192.168.43.50/nfs.html?,1291,master.py, AH01215:     sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} mkdir /media/{2}".format(Pass,Tue Jun 26 20:53:01,UNKNOWN
vikas,http://192.168.43.50/nfs.html?,1291,master.py, AH01215:     sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} mkdir /media/{2}".format(Pass,Tue Jun 26 20:53:01,UNKNOWN
rohan,http://192.168.43.50/nfs.html?,1291,master.py, AH01215:     sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} mkdir /media/{2}".format(Pass,Tue Jun 26 20:53:01,UNKNOWN
ankit,http://192.168.43.50/master.html,1294,master.py, AH01215:     x=sp.getoutput("sshpass -p {0} ssh -o stricthostkeychecking=no -l root {1} echo Y | hadoop namenode -format".format(Pass,Tue Jun 26 23:13:00,HADOOPHDFS
